,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
84,hermanus,20.0,ZA,1552618149.0,85.0,-34.42,19.24,70.0,10.0
85,sisimiut,0.0,GL,1552618698.0,56.0,66.94,-53.67,-20.06,1.97
86,albany,0.0,AU,1552615200.0,60.0,-35.02,117.88,73.4,10.29
87,ushuaia,0.0,AR,1552615200.0,66.0,-54.81,-68.31,53.6,7.45
88,craigieburn,20.0,AU,1552618683.0,43.0,-37.6,144.94,77.0,17.22
89,ballina,0.0,AU,1552618476.0,48.0,-28.87,153.57,89.6,17.22
90,klaksvik,88.0,FO,1552618200.0,93.0,62.23,-6.59,35.6,9.13
92,moron,0.0,MN,1552618699.0,34.0,47.38,110.32,42.32,11.59
93,punta arenas,75.0,CL,1552618386.0,81.0,-53.16,-70.91,48.2,5.82
94,qaqortoq,0.0,GL,1552614600.0,52.0,60.72,-46.03,17.6,9.17
95,itacoatiara,0.0,BR,1552618699.0,78.0,-3.14,-58.44,80.21,5.21
96,kapaa,1.0,US,1552618410.0,65.0,22.08,-159.32,78.8,10.29
97,bluff,24.0,NZ,1552618206.0,60.0,-46.6,168.33,64.99,3.0
99,ribeira grande,0.0,PT,1552618693.0,99.0,38.52,-28.7,59.6,12.15
100,bambous virieux,20.0,MU,1552618444.0,78.0,-20.34,57.76,73.99,8.05
101,ushuaia,0.0,AR,1552615200.0,66.0,-54.81,-68.31,53.6,7.45
102,ostrovnoy,0.0,RU,1552618700.0,81.0,68.05,39.51,15.68,16.17
103,norman wells,75.0,CA,1552615200.0,56.0,65.28,-126.83,14.0,2.24
104,husavik,90.0,IS,1552615200.0,96.0,66.04,-17.34,32.0,4.7
105,buraydah,40.0,SA,1552615200.0,71.0,26.33,43.97,51.8,2.24
106,khatanga,80.0,RU,1552618701.0,81.0,71.98,102.47,5.69,8.57
107,jamestown,88.0,SH,1552618570.0,100.0,-15.94,-5.72,76.25,14.05
108,port elizabeth,75.0,ZA,1552615200.0,100.0,-33.92,25.57,68.0,6.93
109,gunjur,0.0,GM,1552615200.0,47.0,13.18,-16.76,75.2,8.05
110,taoudenni,0.0,ML,1552618701.0,20.0,22.68,-3.98,61.04,12.93
111,springbok,0.0,ZA,1552618701.0,83.0,-29.67,17.88,58.16,2.75
112,rikitea,80.0,PF,1552618691.0,100.0,-23.12,-134.97,76.97,18.07
114,albany,0.0,AU,1552615200.0,60.0,-35.02,117.88,73.4,10.29
115,bredasdorp,80.0,ZA,1552617953.0,83.0,-34.53,20.04,71.6,8.05
117,mvuma,68.0,ZW,1552618702.0,95.0,-19.28,30.53,64.1,13.27
118,ushuaia,0.0,AR,1552615200.0,66.0,-54.81,-68.31,53.6,7.45
119,saskylakh,44.0,RU,1552618702.0,71.0,71.97,114.09,-10.88,11.81
120,bluff,24.0,NZ,1552618206.0,60.0,-46.6,168.33,64.99,3.0
121,cidreira,0.0,BR,1552618702.0,90.0,-30.17,-50.22,65.09,4.21
122,port elizabeth,75.0,ZA,1552615200.0,100.0,-33.92,25.57,68.0,6.93
123,jamestown,88.0,SH,1552618570.0,100.0,-15.94,-5.72,76.25,14.05
124,ancud,0.0,CL,1552615200.0,81.0,-41.87,-73.83,51.8,13.87
125,nichinan,75.0,JP,1552615200.0,50.0,31.65,131.31,55.4,4.7
